Scientific name,Wishlist ID,Source,Priority,Status,Family,Common name EN,Common name DE,Common name PT,Native origin,Natural habitat,Temperature / hardiness target,Light needs,Humidity,Water needs,Soil / substrate,Recommended substrate mix (%),Winter hardiness in Heiligenhaus,Difficulty,Future location,Rarity in cultivation,Bonsai potential,Invasive potential,Conservation / endangerment level,Pollinators / ecology,Edible / medicinal / ethnobotanical,Seed source / propagation,Where to buy EU/UK,Wikipedia,Kew POWO / source search,Notes,Confidence
Salacca ramosiana,SBC-WL-0060,"Kew Gardens, London",★★★,Wishlist,Arecaceae,Rattan/snake-fruit relative,Salak-Palme,palmeira-salaca,Philippines to N Borneo,Wet tropical understory/lowland rainforest,22–32°C; tropical only,Shade to bright shade,High,Even moisture,Rich acidic well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Heated greenhouse only,Hard,Trees & large shrubs,Very rare / botanical-collection level,Low,None,Unknown / specialist palm; wild conservation status not yet resolved in this catalogue.,"Likely/known pollinators: beetles (Nitidulidae/Curculionidae), flies (Diptera), bees (Apidae); varies by palm species.",Fruit in relatives; spiny collector palm,Seed fresh,Rare Palm Seeds/specialist palm suppliers,https://en.wikipedia.org/wiki/Salacca_ramosiana,https://powo.science.kew.org/results?q=Salacca+ramosiana,Very spiny collector palm; greenhouse-only curiosity.,High
Musa haekkinenii,SBC-WL-0061,"Kew Gardens, London",★★★,Wishlist,Musaceae,Vietnamese wild banana,Häkkinen-Banane,bananeira-silvestre-vietnamita,Northern Vietnam,Tropical/subtropical forest,Frost-free to mild; needs heat,Sun to part shade,High,High,Rich fertile moist soil,35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,Greenhouse/container,Medium,Tropical greenhouse,Very rare / botanical-collection level,Low,Low,Data deficient / status uncertain in this catalogue.,"Likely generalist insects: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees and hoverflies; exact pollinators need verification.",Ornamental wild banana,Seed/suckers,"Rare Palm Seeds, banana specialists",https://en.wikipedia.org/wiki/Musa_haekkinenii,https://powo.science.kew.org/results?q=Musa+haekkinenii,Rare wild banana species; collector plant for a warm greenhouse.,High
Marattia sp.,SBC-WL-0062,"Kew Gardens, London",★★★★,Wishlist,Marattiaceae,Giant marattioid fern,Marattia-Farn,feto-marattia,Tropical/subtropical regions depending species,Humid forest floor,15–28°C; frost-free,Shade,High,Even moisture,"Rich humus, airy but moisture-retentive",35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,Greenhouse only,Hard,Bonsai house / epiphyte wall,Rare collector plant / specialist nurseries,None,None,Unknown — genus-level entry; species must be confirmed first.,No pollinators; fern reproduces by spores.,Primitive fern lineage; ornamental,Spores/division rare,Specialist fern growers,https://en.wikipedia.org/wiki/Marattia_sp.,https://powo.science.kew.org/results?q=Marattia+sp.,Label not to species; keep as genus pending.,Medium
Atropa belladonna,SBC-WL-0063,"Chelsea Physic Garden, London",★★★★,Wishlist,Solanaceae,Deadly nightshade,Tollkirsche,beladona,"Europe, N Africa, W Asia","Woodland edges, disturbed rich soils",Hardy,Part shade,Medium,Moderate,Rich well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors but caution,Medium,Shady outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators: bumblebees (Bombus spp.) for buzz-pollinated Solanum; hawkmoths (Sphingidae, e.g. Manduca/Agrius spp.) for Brugmansia; bees for Atropa.",Highly toxic; historic medicinal alkaloids,Seed,Herb/medicinal seed suppliers,https://en.wikipedia.org/wiki/Atropa_belladonna,https://powo.science.kew.org/results?q=Atropa+belladonna,Only if safely placed and labelled.,Medium
Lessertia frutescens,SBC-WL-0064,"Chelsea Physic Garden, London",★★★,Wishlist,Fabaceae,Cancer bush,Krebsbusch,sutherlandia / arbusto-do-cancro,Southern Africa,Dry subtropical scrub/karoo and fynbos margins,Mild frost; dry winter,Full sun,Low,Low,Very well-drained sandy soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Cold greenhouse/container,Medium,Tropical greenhouse,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), solitary bees (Megachile spp., Anthophora spp.).",Traditional medicinal plant; do not self-medicate,Seed,South African seed suppliers,https://en.wikipedia.org/wiki/Lessertia_frutescens,https://powo.science.kew.org/results?q=Lessertia+frutescens,Important Southern African medicinal plant with attractive red flowers and inflated pods.,High
Bulbine frutescens,SBC-WL-0065,"Chelsea Physic Garden, London",★★★,Wishlist,Asphodelaceae,Stalked bulbine,Bulbine,bulbine,South Africa,Dry rocky slopes/grassland,Light frost; frost-free safer,Full sun,Low,Low,Gritty well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container/cold greenhouse,Easy,Sunny outdoor bed,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis mellifera, Bombus spp., solitary bees), hoverflies (Syrphidae), sometimes birds in native ranges.",Leaf gel used traditionally for skin; ornamental,Cuttings/division/seed,Succulent nurseries,https://en.wikipedia.org/wiki/Bulbine_frutescens,https://powo.science.kew.org/results?q=Bulbine+frutescens,Easy South African succulent.,Medium
Aesculus californica,SBC-WL-0066,"Kew Gardens, London",★★★,Wishlist,Sapindaceae,California buckeye,Kalifornische Rosskastanie,castanheiro-da-califórnia,"California, USA","Dry slopes, oak woodland; summer dry",Hardy but unusual; summer-dormant in drought,Full sun,Low,Low after established,Deep well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy trial outdoors,Medium,Trees & large shrubs,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely generalist insects: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees and hoverflies; exact pollinators need verification.",Seeds toxic; Indigenous uses after processing historically,Fresh seed,Specialist tree nurseries,https://en.wikipedia.org/wiki/Aesculus_californica,https://powo.science.kew.org/results?q=Aesculus+californica,Interesting drought-adapted tree.,Medium
Digitalis ferruginea 'Gelber Herold',SBC-WL-0067,"Kew Gardens, London",★★★,Wishlist,Plantaginaceae,Rusty foxglove,Rostiger Fingerhut 'Gelber Herold',dedaleira-ferrugínea,SE Europe/Turkey species; cultivar,"Dry woods, rocky slopes",Hardy,Sun to part shade,Low-medium,Moderate,Well-drained ordinary soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy-medium,Sunny outdoor bed,Cultivar; availability varies by nursery,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees (Osmia/Anthophora spp.), hoverflies (Syrphidae).",Highly toxic; ornamental,Seed/plants,Perennial nurseries,https://en.wikipedia.org/wiki/Digitalis_ferruginea,https://powo.science.kew.org/results?q=Digitalis+ferruginea+%27Gelber+Herold%27,Architectural foxglove.,Medium
Stachys byzantina,SBC-WL-0068,"Kew Gardens, London",★★★,Wishlist,Lamiaceae,Lamb's ear,Woll-Ziest,orelha-de-cordeiro,"Turkey, Iran, Caucasus",Dry rocky slopes,Hardy,Full sun,Low,Low,Poor well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental/texture,Division/seed,Garden centres,https://en.wikipedia.org/wiki/Stachys_byzantina,https://powo.science.kew.org/results?q=Stachys+byzantina,Excellent silver tactile foliage.,Medium
Eryngium sp.,SBC-WL-0069,"Kew Gardens, London",★★★,Wishlist,Apiaceae,Sea holly,Edeldistel / Mannstreu,cardo-marítimo (generic),Unknown species/cultivar,Dry grassland/coastal depending species,Usually hardy,Full sun,Low,Low,Sharp drainage,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Likely hardy outdoors,Easy-medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: hoverflies (Episyrphus balteatus), small bees (Lasioglossum spp.), wasps (Vespidae), beetles.","Ornamental, dried flowers",Seed/plants,Perennial nurseries,https://en.wikipedia.org/wiki/Eryngium_sp.,https://powo.science.kew.org/results?q=Eryngium+sp.,Species/cultivar needs confirmation from label.,Medium
Alstroemeria 'Indian Summer',SBC-WL-0070,"Kew Gardens, London",★★★,Wishlist,Alstroemeriaceae,Indian Summer Peruvian lily,Inkalilie 'Indian Summer',alstroeméria 'Indian Summer',Cultivar; South American ancestry,Garden perennial,Borderline hardy; mulch/protect,Sun to part shade,Medium,Moderate,Fertile well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Outdoor with mulch or container,Easy-medium,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,Likely/known visitors: bees (Apis/Bombus spp.) and in native ranges hummingbirds; cultivars often bee-visited.,Ornamental; cut flower,Division/plants,Garden centres,https://en.wikipedia.org/wiki/Alstroemeria,https://powo.science.kew.org/results?q=Alstroemeria+%27Indian+Summer%27,Bronze foliage and long flowering.,Medium
Dactylorhiza praetermissa,SBC-WL-0071,"Kew Gardens, London",★★★★,Wishlist,Orchidaceae,Southern marsh orchid,Südliches Knabenkraut,orquídea-dos-pântanos,NW Europe/Britain,"Damp meadows, marshes",Hardy,Sun to light shade,High,Moist,"Moist, low-nutrient meadow soil",40% sphagnum peat or long-fibre sphagnum; 30% silica sand; 20% perlite/pumice; 10% fine orchid bark. Rainwater only; no fertiliser.,Hardy if habitat recreated,Hard,Bonsai house / epiphyte wall,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Pollination often specialised; verify by species. Common visitors include solitary bees (Andrena/Lasioglossum spp.), hoverflies (Syrphidae), and in Vanilla, euglossine bees (Eulaema spp.) / stingless bees (Meliponini).",Conservation/ornamental only,Nursery-propagated only,Hardy orchid specialists,https://en.wikipedia.org/wiki/Dactylorhiza_praetermissa,https://powo.science.kew.org/results?q=Dactylorhiza+praetermissa,Do not collect wild orchids.,Medium
Ceanothus 'Skylark',SBC-WL-0072,"Kew Gardens, London",★★★,Wishlist,Rhamnaceae,Skylark California lilac,Säckelblume 'Skylark',ceanoto 'Skylark',Cultivar; California ancestry,Chaparral/garden shrub,Mild hardy; sheltered wall best,Full sun,Low,Low,"Well-drained, not too rich",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline; sheltered outdoor trial,Medium,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bees, hoverflies and flies; fruits used/dispersed by birds.",Ornamental pollinator shrub,Semi-ripe cuttings/plants,Garden centres/shrub nurseries,https://en.wikipedia.org/wiki/Ceanothus,https://powo.science.kew.org/results?q=Ceanothus+%27Skylark%27,Blue flowers; dislikes wet cold.,Medium
Cyclamen hederifolium f. albiflorum,SBC-WL-0073,"Kew Gardens, London",★★★,Wishlist,Primulaceae,White ivy-leaved cyclamen,Weißes Herbst-Alpenveilchen,ciclame-branco,Mediterranean,"Dry woodland, rocky shade",Hardy,Dry shade / part shade,Low-medium,"Dry summer, moist autumn/winter",Humus-rich well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Shady outdoor bed,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Bombus/Andrena spp.), hoverflies (Syrphidae), butterflies.",Ornamental; tubers toxic,Tubers/seed,Bulb suppliers,https://en.wikipedia.org/wiki/Cyclamen_hederifolium,https://powo.science.kew.org/results?q=Cyclamen+hederifolium+f.+albiflorum,Excellent under deciduous shrubs.,Medium
Ecballium elaterium,SBC-WL-0074,"Chelsea Physic Garden, London",★★,Wishlist,Cucurbitaceae,Squirting cucumber,Spritzgurke,pepino-esguichador,Mediterranean region,"Dry disturbed ground, roadsides",Annual/perennial in mild climates; frost tender,Full sun,Low,Low,"Poor, well-drained soil",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Not reliably hardy; may self-seed in mild areas,Easy,Pots / terrace,Uncommon / specialist nurseries,None,Can be weedy in warm climates,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis mellifera, Bombus spp.), squash bees in native relatives (Eucera/Peponapis-like groups depending region); Ecballium visited by bees/flies.",Toxic; historic medicinal use not recommended,Seed,Mediterranean seed suppliers,https://en.wikipedia.org/wiki/Ecballium_elaterium,https://powo.science.kew.org/results?q=Ecballium+elaterium,Fun mechanism; toxic and probably low priority.,High
Betula pendula,SBC-WL-0075,"Chelsea Physic Garden, London",★★,Wishlist,Betulaceae,Silver birch,Hänge-Birke,bétula-branca,"Europe, W Asia","Open woodland, heath, pioneer habitats",Very hardy,Full sun,Low-medium,Medium when young,"Acidic to neutral, well-drained soil",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Trees & large shrubs,Uncommon / specialist nurseries,Low,Native/common Europe,Not evaluated / no global threat flag recorded in this catalogue.,Wind-pollinated; no animal pollinators. Seeds/catkins used by birds and small mammals.,Sap edible/drinkable; traditional uses,Seed/saplings,Tree nurseries,https://en.wikipedia.org/wiki/Betula_pendula,https://powo.science.kew.org/results?q=Betula+pendula,Common but useful bark/structure tree.,High
Brunnera macrophylla,SBC-WL-0076,"Chelsea Physic Garden, London",★★,Wishlist,Boraginaceae,Siberian bugloss,Kaukasus-Vergissmeinnicht,brunera,Caucasus,Moist woodland,Hardy,Shade to part shade,Medium,Medium-high,"Moist, humus-rich soil","45% leaf mould/woodland compost; 30% loam; 15% fine bark; 10% grit/perlite. Humus-rich, cool, moist but not waterlogged.",Hardy outdoors,Easy,Shady outdoor bed,Common in garden trade,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees (Anthophora plumipes, Osmia spp.), hoverflies (Syrphidae).",Ornamental,Division/seed,Garden centres,https://en.wikipedia.org/wiki/Brunnera_macrophylla,https://powo.science.kew.org/results?q=Brunnera+macrophylla,"Good shade plant, not a collector priority.",High
Echinopsis pachanoi,SBC-WL-0077,"Chelsea Physic Garden, London",★★★,Wishlist,Cactaceae,San Pedro cactus,San-Pedro-Kaktus,cacto-são-pedro,Andes: Peru/Ecuador/Bolivia,High-altitude dry valleys,Keep frost-free or dry near 0°C,Full sun,Low,Low,Mineral cactus mix,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Dry greenhouse/container,Easy,Tropical greenhouse,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators: hawkmoths (Sphingidae), bees (Apis/Bombus spp.), and for some columnar cacti hummingbirds or bats; verify by species.",Traditional psychoactive/ritual use; legal caution,Seed/cuttings,Cactus nurseries,https://en.wikipedia.org/wiki/Echinopsis_pachanoi,https://powo.science.kew.org/results?q=Echinopsis+pachanoi,Also seen as Trichocereus pachanoi; ornamental only.,High
Curio rowleyanus,SBC-WL-0078,"Chelsea Physic Garden, London",★★,Wishlist,Asteraceae,String of pearls,Erbsenpflanze,colar-de-pérolas,Southwest Africa,Dry scrub/rocky slopes,Keep above 8–10°C,Bright indirect light,Low,Low,Free-draining succulent mix,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Houseplant/greenhouse only,Easy-medium,Tropical greenhouse,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees (Halictus/Lasioglossum spp.), hoverflies (Episyrphus balteatus), butterflies (Pieris rapae, Vanessa atalanta).",Ornamental; toxic/irritant if eaten,Cuttings,Houseplant shops,https://en.wikipedia.org/wiki/Curio_rowleyanus,https://powo.science.kew.org/results?q=Curio+rowleyanus,Classic trailing succulent; easy if kept bright and not overwatered.,High
Cleistocactus strausii,SBC-WL-0079,"Chelsea Physic Garden, London",★★,Wishlist,Cactaceae,Silver torch cactus,Silberkerzenkaktus,cacto-tocha-prateada,Bolivia/Argentina,High-altitude rocky slopes,"Dry, can take cool conditions but protect hard frost",Full sun,Low,Low,Mineral cactus mix,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Dry greenhouse/container,Easy,Tropical greenhouse,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators: hawkmoths (Sphingidae), bees (Apis/Bombus spp.), and for some columnar cacti hummingbirds or bats; verify by species.",Ornamental,Seed/cuttings,Cactus nurseries,https://en.wikipedia.org/wiki/Cleistocactus_strausii,https://powo.science.kew.org/results?q=Cleistocactus+strausii,Architectural cactus.,High
Papaver somniferum,SBC-WL-0080,"Chelsea Physic Garden, London",★★,Wishlist,Papaveraceae,Opium poppy,Schlafmohn,papoila-dormideira,Eastern Mediterranean/Western Asia origin; cultivated widely,Cultivated/disturbed ground,Annual hardy-ish,Full sun,Low,Low-medium,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Annual outdoors,Easy,Tropical greenhouse,Uncommon / specialist nurseries,None,Self-seeds; legal restrictions in some places,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: pollen-foraging bees (Apis mellifera, Bombus spp., Andrena spp.) and hoverflies (Syrphidae).",Seeds edible; opium alkaloids legally controlled,"Seed, subject to law",Seed suppliers where legal,https://en.wikipedia.org/wiki/Papaver_somniferum,https://powo.science.kew.org/results?q=Papaver+somniferum,Legal restrictions vary; handle carefully.,Medium
Aechmea fulgens var. discolor,SBC-WL-0081,"Chelsea Physic Garden, London",★★★,Wishlist,Bromeliaceae,Coralberry bromeliad,Aechmea,aechmea,Brazil,Atlantic rainforest epiphyte/terrestrial,Keep above 10–12°C,Bright filtered light,Medium-high,Water in rosette; moderate root moisture,Airy bromeliad mix,40% fine orchid bark; 25% coco coir or sphagnum; 20% perlite/pumice; 10% leaf mould/compost; 5% horticultural charcoal.,Greenhouse/indoors only,Easy-medium,Bonsai house / epiphyte wall,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators in native ranges: hummingbirds (Trochilidae), bees (Apidae), moths (Sphingidae); varies strongly by species.",Ornamental,Offsets,Bromeliad specialists,https://en.wikipedia.org/wiki/Aechmea_fulgens,https://powo.science.kew.org/results?q=Aechmea+fulgens+var.+discolor,Good foliage/flowering bromeliad.,High
Billbergia buchholzii,SBC-WL-0082,"Chelsea Physic Garden, London",★★★,Wishlist,Bromeliaceae,Billbergia,Billbergie,bilbérgia,South America,Forest epiphyte,Keep above 10°C,Bright filtered light,Medium-high,Moderate/tank water,Airy bromeliad mix,40% fine orchid bark; 25% coco coir or sphagnum; 20% perlite/pumice; 10% leaf mould/compost; 5% horticultural charcoal.,Greenhouse/indoors only,Medium,Bonsai house / epiphyte wall,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators in native ranges: hummingbirds (Trochilidae), bees (Apidae), moths (Sphingidae); varies strongly by species.",Ornamental,Offsets,Bromeliad specialists,https://en.wikipedia.org/wiki/Billbergia_buchholzii,https://powo.science.kew.org/results?q=Billbergia+buchholzii,Less common bromeliad; details need verification.,Medium
Tillandsia usneoides,SBC-WL-0083,"Chelsea Physic Garden, London",★★★,Wishlist,Bromeliaceae,Spanish moss,Spanisches Moos,barba-de-velho,Americas,Epiphyte on trees in humid climates,Keep frost-free in Germany,Bright filtered light,Medium-high,Mist/soak then dry quickly,No soil; mounted/hanging,40% fine orchid bark; 25% coco coir or sphagnum; 20% perlite/pumice; 10% leaf mould/compost; 5% horticultural charcoal.,Greenhouse/indoors only,Medium,Bonsai house / epiphyte wall,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators in native ranges: hummingbirds (Trochilidae), bees (Apidae), moths (Sphingidae); varies strongly by species.",Ornamental/fibre tradition,Division strands,Air-plant/bromeliad sellers,https://en.wikipedia.org/wiki/Tillandsia_usneoides,https://powo.science.kew.org/results?q=Tillandsia+usneoides,Atmospheric hanging epiphyte.,High
Streptocarpus saxorum,SBC-WL-0084,"Chelsea Physic Garden, London",★★,Wishlist,Gesneriaceae,False African violet,Drehfrucht,estreptocarpo,Tanzania/Kenya,Rocky shaded habitats,Keep above ~10°C,Bright shade,Medium,Moderate,"Light, airy, well-drained mix",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Houseplant/greenhouse,Easy,Shady outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees, moths, butterflies and sometimes birds; verify by species.",Ornamental,Cuttings/seed,Houseplant/gesneriad specialists,https://en.wikipedia.org/wiki/Streptocarpus_saxorum,https://powo.science.kew.org/results?q=Streptocarpus+saxorum,Useful flowering container plant.,Medium
Viscum album,SBC-WL-0085,"Chelsea Physic Garden, London",★★★,Wishlist,Santalaceae,European mistletoe,Mistel,visco,"Europe, W Asia",Hemiparasite on host trees,Hardy,Grows in tree canopy,Medium,Depends on host,"Living host branch, not soil",50% garden loam/topsoil; 25% compost; 15% grit; 10% leaf mould/fine bark. Adjust drainage to site conditions.,Hardy if established,Hard,Trees & large shrubs,Uncommon / specialist nurseries,None,Native/low concern,Not evaluated / no global threat flag recorded in this catalogue.,Flowers visited by flies and bees; fruits dispersed by birds such as mistle thrush (Turdus viscivorus) and blackcap (Sylvia atricapilla).,"Folklore/medicinal history; toxic, do not self-medicate",Fresh berries on host branch,Not usually sold; inoculation experiment,https://en.wikipedia.org/wiki/Viscum_album,https://powo.science.kew.org/results?q=Viscum+album,Curiosity rather than practical garden plant.,High
Digitalis viridiflora,SBC-WL-0086,"Chelsea Physic Garden, London",★★★,Wishlist,Plantaginaceae,Green-flowered foxglove,Grünblütiger Fingerhut,dedaleira-verde,Balkans,"Woodland edges, rocky slopes",Hardy,Sun to part shade,Medium,Medium,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Medium,Shady outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees (Osmia/Anthophora spp.), hoverflies (Syrphidae).",Highly toxic; medicinal relatives,Seed,Specialist seed suppliers,https://en.wikipedia.org/wiki/Digitalis_viridiflora,https://powo.science.kew.org/results?q=Digitalis+viridiflora,Subtle green-flowered foxglove; useful for woodland or perennial planting.,High
Nepeta racemosa 'Walker's Low',SBC-WL-0087,"Chelsea Physic Garden, London",★★,Wishlist,Lamiaceae,Catmint 'Walker's Low',Katzenminze 'Walker's Low',erva-gateira 'Walker's Low',Cultivar; W Asian species ancestry,Dry rocky slopes/garden border,Hardy,Full sun,Low,Low,Well-drained average soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors,Easy,Sunny outdoor bed,Common in garden trade,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Aromatic ornamental,Division/plants,Garden centres,https://en.wikipedia.org/wiki/Nepeta_racemosas,https://powo.science.kew.org/results?q=Nepeta+racemosa+%27Walker%27s+Low%27,Excellent workhorse perennial.,High
Paulownia tomentosa,SBC-WL-0088,"Chelsea Physic Garden, London",★★★,Wishlist,Paulowniaceae,Foxglove tree,Blauglockenbaum,paulónia,China,Forest edges/disturbed ground,"Hardy, fast-growing",Full sun,Low-medium,Medium,Fertile well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors but large,Easy,Trees & large shrubs,Uncommon / specialist nurseries,Low-medium,Can be invasive in some regions; monitor,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees.",Timber/ornamental; large leaves,Seed/plants,Tree nurseries,https://en.wikipedia.org/wiki/Paulownia_tomentosa,https://powo.science.kew.org/results?q=Paulownia+tomentosa,Spectacular leaves but space/invasiveness concern.,High
Veronica salicifolia,SBC-WL-0089,"Chelsea Physic Garden, London",★★★,Wishlist,Plantaginaceae,Willow-leaved hebe,Weidenblättrige Strauchveronika,verónica-de-folha-de-salgueiro,New Zealand,Shrubland/forest margins/stream sides,Mild frost; sheltered,Sun to part shade,Medium,Medium,Moist well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline outdoors; container/cool greenhouse safer,Medium,Pots / terrace,Rare collector plant / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees (Osmia/Anthophora spp.), hoverflies (Syrphidae).",Ornamental,Cuttings/plants,Specialist New Zealand plant nurseries,https://en.wikipedia.org/wiki/Veronica_salicifolia,https://powo.science.kew.org/results?q=Veronica+salicifolia,Often sold as Hebe salicifolia.,High
Lagurus ovatus,SBC-WL-0090,"Chelsea Physic Garden, London",★★,Wishlist,Poaceae,Bunny-tail grass,Hasenschwanzgras,rabo-de-lebre,Mediterranean,Dry sandy grassland/coasts,Annual,Full sun,Low,Low,Sandy well-drained soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Annual outdoors,Easy,Sunny outdoor bed,Uncommon / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,Wind-pollinated; no animal pollinators. Seeds used by birds and small mammals.,Ornamental/dried flowers,Seed,Seed suppliers,https://en.wikipedia.org/wiki/Lagurus_ovatus,https://powo.science.kew.org/results?q=Lagurus+ovatus,Cute but not essential.,High
